activity_id,name,category,sector,source,unit_type
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_2010-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (2010 models),Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_2011-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (2011 models),Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_2012-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (2012 models),Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_2013-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (2013 models),Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_2014-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (2014 models),Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_2015-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (2015 models),Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_2016-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (2016 models),Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_2017-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (2017 models),Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_2018-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (2018 models),Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_2019-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (2019 models),Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_2020-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (2020 models),Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_2021-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (2021 models),Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_2022-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (2022 models),Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_lt_1980-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (≤1980 models),Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_bev-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_10t_lt_12t,Battery EV HGV (10 - 12t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_bev-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_12t_lt_15t,Battery EV HGV (12 - 15t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_bev-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_5t_lt_7.5t,Battery EV HGV (5 - 7.5t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_bev-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_7.5t_lt_10t,Battery EV HGV (7.5 - 10t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel-engine_size_na-vehicle_age_na-vehicle_weight_lt_7.5t,HGV diesel (<7.5t) pre-2010,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_10t_lt_12t,Diesel HGV (10 - 12t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_12t_lt_15t,Diesel HGV (12 -15t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_15t_lt_20t,Diesel HGV (15 - 20t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_20t_lt_25t,Diesel HGV (20 - 25t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_25t_lt_30t,Diesel HGV (25t - 30t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_30t,Diesel HGV (>30t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_5t_lt_7.5t,Diesel HGV (5 - 7.5t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_7.5t_lt_10t,Diesel HGV (7.5 - 10t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel-engine_size_na-vehicle_age_post_2015-vehicle_weight_lt_5t,Diesel HGV (<5t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel-engine_size_na-vehicle_age_post_2015-vehicle_weight_na,Diesel HGV (average) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel_hev-engine_size_na-vehicle_age_na-vehicle_weight_lt_7.5t,HGV diesel hybrid (<7.5t) pre-2010,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel_hev-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_10t_lt_12t,Diesel hybrid HGV (10t - 12t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel_hev-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_12t_lt_15t,Diesel hybrid HGV (12t - 15t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel_hev-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_15t_lt_20t,Diesel hybrid HGV (15t - 20t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel_hev-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_20t_lt_25t,Diesel hybrid HGV (20t - 25t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel_hev-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_25t_lt_30t,Diesel hybrid HGV (25t - 30t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel_hev-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_30t,Diesel hybrid HGV (>30t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel_hev-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_5t_lt_7.5t,Diesel hybrid HGV (5t - 7.5t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel_hev-engine_size_na-vehicle_age_post_2015-vehicle_weight_gt_7.5t_lt_10t,Diesel hybrid HGV (7.5t - 10t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel_hev-engine_size_na-vehicle_age_post_2015-vehicle_weight_lt_5t,Diesel hybrid HGV (<5t) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_hgv-fuel_source_diesel_hev-engine_size_na-vehicle_age_post_2015-vehicle_weight_na,Diesel hybrid HGV (average) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_bev-engine_size_gt_1350cc_lt_1600cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Electric vehicle (1350-1600cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_bev-engine_size_gt_1600cc_lt_2000cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Electric vehicle (1600-2000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_bev-engine_size_gt_2000cc_lt_3000cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Electric vehicle (2000-3000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_bev-engine_size_gte_3000cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Electric vehicle (>3000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_bev-engine_size_large-vehicle_age_post_2015-vehicle_weight_na,Battery EV LCV (large) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_bev-engine_size_lt_1350cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Electric vehicle (<1350cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_bev-engine_size_medium-vehicle_age_post_2015-vehicle_weight_na,Battery EV LCV (medium) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_bev-engine_size_small-vehicle_age_post_2015-vehicle_weight_na,Battery EV LCV (small) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_bev-engine_size_very_large-vehicle_age_post_2015-vehicle_weight_na,Battery EV LCV (very large) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_bev-engine_size_very_small-vehicle_age_post_2015-vehicle_weight_na,Battery EV LCV (very small) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_diesel-engine_size_gt_1350cc_lt_1600cc-vehicle_age_post_2015-vehicle_weight_na,Diesel LCV (1350-1600cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_diesel-engine_size_gt_1350cc_lt_1600cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Diesel (1350-1600cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_diesel-engine_size_gt_1600cc_lt_2000cc-vehicle_age_post_2015-vehicle_weight_na,Diesel LCV (1600-2000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_diesel-engine_size_gt_1600cc_lt_2000cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Diesel (1600-2000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_diesel-engine_size_gt_2000cc_lt_3000cc-vehicle_age_post_2015-vehicle_weight_na,Diesel LCV (2000-3000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_diesel-engine_size_gt_2000cc_lt_3000cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Diesel (2000-3000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_diesel-engine_size_gt_3000cc-vehicle_age_post_2015-vehicle_weight_na,Diesel LCV (>3000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_diesel-engine_size_gte_3000cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Diesel (>3000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_diesel-engine_size_lt_1350cc-vehicle_age_post_2015-vehicle_weight_na,Diesel LCV (<1350cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_diesel-engine_size_lt_1350cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Diesel (<1350cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_diesel-engine_size_na-vehicle_age_na-vehicle_weight_na,LCV - Diesel - default factor,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_diesel-engine_size_na-vehicle_age_post_2015-vehicle_weight_na,Diesel LCV (average) post-2015,Vehicles,Transport,MfE,Distance
